,error_rate,cultivation_distance,shots,errors,discards,gap,attempts_per_kept_shot,low_10,best_estimate,high_10,low_100,high_100,low_1000,high_1000,keep_rate,expected_volume,t_gate_cultivation_error_rate
4184,0.000649,3,5000000000,2346727,1658123748,4,1.496165513314665,0.0007012012035447,0.0007022184015926,0.0007033842556537,0.0007008690188926,0.0007036565577772,0.0007005328095553,0.0007039097089822,0.6683752504,7136.511384815501,0.0014044368031852
4185,0.000649,3,5000000000,1915067,1659591854,5,1.4968230765433996,0.0005724985110846,0.0005733032959739,0.000574186289869,0.0005721144951369,0.0005744925398706,0.0005718686808638,0.0005747745413383,0.6680816292,7139.248809266482,0.0011466065919478
4186,0.000649,3,5000000000,1667200,1660470302,6,1.497216809001579,0.000498392729071,0.0004992319729926,0.0005000691327884,0.0004981210650698,0.0005003604941739,0.0004978773211676,0.0005005925627794,0.6679059396,7140.887910741546,0.0009984639459852
4187,0.000649,3,5000000000,1515940,1661118936,7,1.4975076686364366,0.0004531751658704,0.0004540263552197,0.0004549020018641,0.0004528799082733,0.0004551775462703,0.0004526962149976,0.0004554264320449,0.6677762128,7142.0987544163,0.0009080527104394
4188,0.000649,3,5000000000,1337337,1662120581,8,1.497957047082918,0.0003999715035841,0.0004006546768548,0.0004013609456273,0.0003996447392337,0.0004016644317252,0.0003994472575643,0.0004018462837108,0.6675758838,7143.969509186924,0.0008013093537096
4189,0.000649,3,5000000000,1195509,1662985152,9,1.4983451455123131,0.0003575135995319,0.0003582570214563,0.000358969835186,0.000357251131416,0.0003592314492452,0.0003571008503945,0.0003594582987003,0.6674029696,7145.585156296724,0.0007165140429126
4190,0.000649,3,5000000000,1085398,1663827092,10,1.4987232784046556,0.0003246764031332,0.0003253422499167,0.0003260358830298,0.0003244694684152,0.0003262478054989,0.0003242507147654,0.0003264147632722,0.6672345816,7147.159317046576,0.0006506844998334
4191,0.000649,3,5000000000,1006995,1664455572,11,1.4990056663703322,0.0003011974361865,0.0003018982423219,0.0003025775946882,0.0003009903755357,0.0003028117423714,0.0003008161670931,0.0003030010667871,0.6671088856,7148.334893307728,0.0006037964846438
4192,0.000649,3,5000000000,939835,1665088989,12,1.499290380315764,0.000281145960689,0.0002818171150294,0.0002824815825347,0.00028094112164,0.0002826944847674,0.0002807649580188,0.0002828763486906,0.6669822022,7149.520152582735,0.0005636342300588
4193,0.000649,3,5000000000,799041,1667257402,13,1.5002658774187962,0.0002392095298564,0.0002397547894876,0.0002403108030246,0.0002389510160424,0.0002405545932293,0.0002387967527037,0.0002407215758221,0.6665485196000001,7153.581130303231,0.0004795095789752
4194,0.000649,3,5000000000,728874,1668310552,14,1.5007401127977278,0.0002181846871821,0.0002187700898826,0.0002193712833705,0.000217941756377,0.0002195989426443,0.0002177931951117,0.0002197538220254,0.6663378896000001,7155.555364057616,0.0004375401797652
4195,0.000649,3,5000000000,690154,1669091879,15,1.5010921395504369,0.000206668963836,0.0002071969489788,0.0002077630888816,0.0002064223644192,0.0002079838965333,0.0002062706250191,0.0002081260529611,0.6661816242,7157.020845395621,0.0004143938979576
4196,0.000649,3,5000000000,636384,1670268031,16,1.501622366168523,0.0001906023895943,0.0001911216896509,0.000191627607249,0.0001903807351167,0.0001918686146356,0.0001902349486076,0.0001920028626784,0.6659463938,7159.228169718957,0.0003822433793018
4197,0.000649,3,5000000000,603233,1671287558,17,1.5020822871054824,0.0001807081868683,0.0001812211209321,0.0001817579411084,0.0001804912831818,0.0001819500544288,0.0001803471223363,0.0001820953087902,0.6657424884,7161.142812696755,0.0003624422418642
4198,0.000649,3,5000000000,574047,1672270054,18,1.502525769558029,0.0001720531531376,0.0001725040821566,0.0001729505636993,0.0001718178876525,0.0001731909648175,0.0001716810045498,0.0001733233403429,0.6655459892,7162.989022545691,0.0003450081643132
4199,0.000649,3,5000000000,539202,1673447050,19,1.503057390983025,0.0001615964207032,0.0001620903103316,0.0001625814974627,0.000161376448254,0.0001628056003136,0.0001612649995545,0.0001629294552488,0.66531059,7165.202153426287,0.0003241806206632
4200,0.000649,3,5000000000,503336,1675483689,20,1.5039781821639089,0.0001509397136478,0.0001514012725203,0.0001518620493241,0.000150741029106,0.0001520568114908,0.000150607364549,0.0001521930749221,0.6649032622,7169.035391330513,0.0003028025450406
4201,0.000649,3,5000000000,471351,1677387196,21,1.5048398031726602,0.0001414308701375,0.00014186154927,0.0001422944736235,0.0001412265339599,0.0001425024394747,0.0001411053100847,0.0001426214753128,0.6645225608,7172.622304822298,0.00028372309854
4202,0.000649,3,5000000000,445619,1679267601,22,1.5056919369637578,0.0001337495638413,0.0001341929871055,0.0001346388706704,0.000133562858041,0.0001348256487438,0.0001334476605623,0.000134941587023,0.6641464798000001,7176.169723189597,0.000268385974211
4203,0.000649,3,5000000000,339209,1695311381,23,1.5130018511356746,0.0001022629993207,0.0001026447690259,0.0001030363429832,0.0001021059769625,0.0001031806077097,0.000101993606315,0.0001033008943829,0.6609377238,7206.600770600034,0.0002052895380518
4204,0.000649,3,5000000000,233139,1705926611,24,1.517877535655671,7.045107457986875e-05,7.077529018586173e-05,7.11008354525765e-05,7.032479931187107e-05,7.122477015341323e-05,7.023022036258586e-05,7.132457363717831e-05,0.6588146778,7226.898161690764,0.00014155058037172347
4205,0.000649,3,5000000000,214384,1708801543,25,1.5192034340339364,6.483187592233366e-05,6.513858182694208e-05,6.544670666755845e-05,6.471272175854693e-05,6.556497665494622e-05,6.461928770890889e-05,6.566008182836237e-05,0.6582396913999999,7232.417853914471,0.00013027716365388416
4206,0.000649,3,5000000000,199231,1711492912,26,1.5204467754393682,6.028400264770845e-05,6.058402632824126e-05,6.088291879637269e-05,6.017037661923993e-05,6.100021822425216e-05,6.0079122444634366e-05,6.108989113421062e-05,0.6577014176,7237.593862875251,0.00012116805265648252
4207,0.000649,3,5000000000,187302,1714231156,27,1.521713862217318,5.672044165258997e-05,5.700400998750233e-05,5.7286217910221314e-05,5.6607143968646136e-05,5.7402823800102966e-05,5.651594765684619e-05,5.749606225190684e-05,0.6571537688,7242.868723414848,0.00011400801997500467
4208,0.000649,3,5000000000,177788,1716716841,28,1.5228659106810434,5.387646493879512e-05,5.414945692778733e-05,5.442250678568415e-05,5.376566426082046e-05,5.453767504309244e-05,5.3673850675027936e-05,5.46285109489699e-05,0.6566566318,7247.664681424011,0.00010829891385557465
4209,0.000649,3,5000000000,165795,1719848750,29,1.5243199526093072,5.027652612055618e-05,5.054492532928169e-05,5.081312942505319e-05,5.017163461593424e-05,5.0921968918354e-05,5.008448619556797e-05,5.1006830858790425e-05,0.6560302499999999,7253.7178330500965,0.00010108985065856339
4210,0.000649,3,5000000000,151569,1722905857,30,1.5257419469101032,4.5995248663199606e-05,4.625103624922014e-05,4.650821836338072e-05,4.589259979645327e-05,4.661136157051806e-05,4.581069796870953e-05,4.669676345028944e-05,0.6554188286,7259.637570952309,9.250207249844028e-05
4211,0.000649,3,5000000000,101673,1757859654,31,1.542191103504937,3.114817349736037e-05,3.135983922640467e-05,3.1572090988068536e-05,3.1064151841624194e-05,3.165598926851638e-05,3.099628617989506e-05,3.172804660566659e-05,0.6484280692,7328.1151279299265,6.271967845280933e-05
4212,0.000649,3,5000000000,94874,1762252735,32,1.544283598649394,2.909718155533675e-05,2.930247243989256e-05,2.950763360462602e-05,2.901603562932822e-05,2.959029292856186e-05,2.894980748288888e-05,2.9658142572780465e-05,0.647549453,7336.826149352509,5.860494487978512e-05
4213,0.000649,3,5000000000,89589,1766078334,33,1.546110423909006,2.7505298268408956e-05,2.7702897365108904e-05,2.790130971589217e-05,2.742262155956625e-05,2.798419978797347e-05,2.7359849476329275e-05,2.8048286065071316e-05,0.6467843332000001,7344.431191597874,5.540579473021781e-05
4214,0.000649,3,5000000000,84953,1769829511,34,1.5479059123755707,2.6107420734348737e-05,2.629985020583228e-05,2.649449008695962e-05,2.6026855327387643e-05,2.657370262415273e-05,2.596596070876926e-05,2.663743919802742e-05,0.6460340978,7351.905779310884,5.259970041166456e-05
4215,0.000649,3,5000000000,81764,1773309090,35,1.5495751335850292,2.515431513705166e-05,2.5339892255127715e-05,2.552784022315915e-05,2.507347690144886e-05,2.5608573087652823e-05,2.5013158139773604e-05,2.5668752387566e-05,0.6453381819999999,7358.854718596695,5.067978451025543e-05
4216,0.000649,3,5000000000,78850,1776836503,36,1.551270980374179,2.4276640037909932e-05,2.446354337078793e-05,2.4651712540786446e-05,2.4200001046363305e-05,2.4730129288877336e-05,2.4140131294121563e-05,2.4789542967450653e-05,0.6446326994,7365.9144997144285,4.892708674157586e-05
